Year	Week	Y_LT5,T,NR,PL
2010	8	40.0
2010	9	41.0
2010	10	55.0
2010	11	56.0
2010	12	45.0
2010	13	49.0
2010	14	39.0
2010	15	55.0
2010	16	37.0
2010	17	56.0
2010	18	45.0
2010	19	49.0
2010	20	36.0
2010	21	47.0
2010	22	45.0
2010	23	45.0
2010	24	62.0
2010	25	44.0
2010	26	52.0
2010	27	57.0
2010	28	51.0
2010	29	41.0
2010	30	41.0
2010	31	50.0
2010	32	41.0
2010	33	36.0
2010	34	47.0
2010	35	38.0
2010	36	47.0
2010	37	40.0
2010	38	41.0
2010	39	49.0
2010	40	39.0
2010	41	49.0
2010	42	54.0
2010	43	38.0
2010	44	48.0
2010	45	43.0
2010	46	43.0
2010	47	46.0
2010	48	42.0
2010	49	40.0
2010	50	38.0
2010	51	50.0
2010	52	50.0
2010	53	NaN

2011	1	50.0
2011	2	55.0
2011	3	44.0
2011	4	46.0
2011	5	54.0
2011	6	48.0
2011	7	45.0
2011	8	49.0
2011	9	42.0
2011	10	45.0
2011	11	46.0
2011	12	38.0
2011	13	49.0
2011	14	33.0
2011	15	34.0
2011	16	48.0
2011	17	32.0
2011	18	30.0
2011	19	50.0
2011	20	46.0
2011	21	38.0
2011	22	49.0
2011	23	42.0
2011	24	48.0
2011	25	52.0
2011	26	33.0
2011	27	36.0
2011	28	50.0
2011	29	45.0
2011	30	40.0
2011	31	47.0
2011	32	46.0
2011	33	28.0
2011	34	38.0
2011	35	40.0
2011	36	38.0
2011	37	33.0
2011	38	45.0
2011	39	45.0
2011	40	43.0
2011	41	36.0
2011	42	47.0
2011	43	42.0
2011	44	34.0
2011	45	30.0
2011	46	37.0
2011	47	37.0
2011	48	26.0
2011	49	37.0
2011	50	41.0
2011	51	36.0
2011	52	48.0
2011	53	NaN

2012	1	34.0
2012	2	38.0
2012	3	43.0
2012	4	39.0
2012	5	39.0
2012	6	36.0
2012	7	27.0
2012	8	38.0
2012	9	43.0
2012	10	27.0
2012	11	43.0
2012	12	33.0
2012	13	43.0
2012	14	46.0
2012	15	51.0
2012	16	33.0
2012	17	43.0
2012	18	34.0
2012	19	37.0
2012	20	55.0
2012	21	38.0
2012	22	33.0
2012	23	37.0
2012	24	44.0
2012	25	47.0
2012	26	53.0
2012	27	57.0
2012	28	31.0
2012	29	45.0
2012	30	53.0
2012	31	49.0
2012	32	31.0
2012	33	42.0
2012	34	35.0
2012	35	42.0
2012	36	33.0
2012	37	43.0
2012	38	26.0
2012	39	45.0
2012	40	39.0
2012	41	40.0
2012	42	41.0
2012	43	42.0
2012	44	33.0
2012	45	39.0
2012	46	40.0
2012	47	48.0
2012	48	35.0
2012	49	33.0
2012	50	45.0
2012	51	43.0
2012	52	34.0
2012	53	NaN

2013	1	43.0
2013	2	44.0
2013	3	42.0
2013	4	43.0
2013	5	39.0
2013	6	29.0
2013	7	42.0
2013	8	40.0
2013	9	46.0
2013	10	35.0
2013	11	49.0
2013	12	41.0
2013	13	35.0
2013	14	33.0
2013	15	42.0
2013	16	39.0
2013	17	40.0
2013	18	30.0
2013	19	35.0
2013	20	50.0
2013	21	31.0
2013	22	36.0
2013	23	42.0
2013	24	37.0
2013	25	33.0
2013	26	49.0
2013	27	36.0
2013	28	39.0
2013	29	42.0
2013	30	41.0
2013	31	39.0
2013	32	40.0
2013	33	28.0
2013	34	41.0
